ID,timestamp,X1,X2,X5,X7,X8
6048,29759,60.277,62.177,64.857,61.697,55.237
3430,29761,60.277,62.177,64.857,61.697,55.237
4796,29763,60.127,62.177,64.857,61.697,55.237
809,29766,60.127,62.487,64.857,61.697,54.287
2103,29769,60.127,62.487,65.167,61.537,54.287
6049,29769,60.127,62.487,65.167,61.537,54.287
3431,29771,60.127,62.487,65.167,61.537,54.287
4797,29773,59.967,62.487,65.167,61.537,54.287
810,29776,59.967,61.857,65.167,61.537,53.187
6050,29779,59.967,61.857,65.327,62.957,53.187
2104,29780,59.967,61.857,65.327,62.957,53.187
3432,29782,59.487,61.857,65.327,62.957,53.187
4798,29783,59.487,61.857,65.327,62.957,53.187
811,29786,59.487,,65.327,62.957,53.187
6051,29789,59.487,,64.697,,53.187
2105,29790,59.487,,64.697,,53.187
3433,29792,59.807,,64.697,,53.187
4799,29793,59.807,,64.697,,53.187
812,29797,59.807,61.537,64.697,,
6052,29800,59.807,61.537,64.377,62.327,
2106,29800,59.807,61.537,64.377,62.327,
3434,29802,59.807,61.537,64.377,62.327,
4800,29804,60.127,61.537,64.377,62.327,
813,29807,60.127,62.017,64.377,62.327,53.817
6053,29810,60.127,62.017,64.377,62.017,53.817
2107,29810,60.127,62.017,64.377,62.017,53.817
3435,29812,60.127,62.017,64.377,62.017,53.817
4801,29814,61.067,62.017,64.377,62.017,53.817
814,29817,61.067,63.117,64.377,62.017,54.607
6054,29820,61.067,63.117,64.217,62.647,54.607
2108,29821,61.067,63.117,64.217,62.647,54.607
3436,29823,60.597,63.117,64.217,62.647,54.607
4802,29824,60.597,63.117,64.217,62.647,54.607
815,29828,60.597,62.807,64.217,62.647,55.397
6055,29830,60.597,62.807,64.697,62.957,55.397
2109,29831,60.597,62.807,64.697,62.957,55.397
3437,29833,60.597,62.807,64.697,62.957,55.397
4803,29834,61.697,62.807,64.697,62.957,55.397
816,29838,61.697,62.177,64.697,62.957,57.287
2110,29841,61.697,62.177,64.857,63.747,57.287
6056,29841,61.697,62.177,64.857,63.747,57.287
3438,29843,61.697,62.177,64.857,63.747,57.287
4804,29845,61.537,62.177,64.857,63.747,57.287
817,29848,61.537,62.487,64.857,63.747,56.337
2111,29851,61.537,62.487,65.327,62.647,56.337
6057,29851,61.537,62.487,65.327,62.647,56.337
3439,29854,,62.487,65.327,62.647,56.337
4805,29855,,62.487,65.327,62.647,56.337
818,29858,,62.807,65.327,62.647,56.177
6058,29861,,62.807,65.007,63.587,56.177
2112,29862,,62.807,65.007,63.587,56.177
3440,29864,62.487,62.807,65.007,63.587,56.177
4806,29865,62.487,62.807,65.007,63.587,56.177
819,29869,62.487,,65.007,63.587,57.447
6059,29871,62.487,,,64.217,57.447
2113,29872,62.487,,,64.217,57.447
3441,29874,62.487,,,64.217,57.447
4807,29875,62.957,,,64.217,57.447
820,29879,62.957,65.487,,64.217,57.917
2114,29882,62.957,65.487,65.797,64.857,57.917
6060,29882,62.957,65.487,65.797,64.857,57.917
3442,29884,62.957,65.487,65.797,64.857,57.917
4808,29886,63.437,65.487,65.797,64.857,57.917
821,29889,63.437,65.957,65.797,64.857,58.857
6061,29892,63.437,65.957,66.907,65.007,58.857
2115,29892,63.437,65.957,66.907,65.007,58.857
3443,29895,,65.957,66.907,65.007,58.857
4809,29896,,65.957,66.907,65.007,58.857
822,29899,,65.487,66.907,65.007,57.757
6062,29902,,65.487,65.797,63.587,57.757
2116,29903,,65.487,65.797,63.587,57.757
3444,29905,62.177,65.487,65.797,63.587,57.757
4810,29906,62.177,65.487,65.797,63.587,57.757
823,29910,62.177,65.007,65.797,63.587,57.917
6063,29913,62.177,65.007,65.797,61.387,57.917
2117,29913,62.177,65.007,65.797,61.387,57.917
3445,29915,62.177,65.007,65.797,61.387,57.917
4811,29917,60.127,65.007,65.797,61.387,57.917
824,29920,60.127,63.587,65.797,61.387,57.447
2118,29923,60.127,63.587,63.277,61.067,57.447
6064,29923,60.127,63.587,63.277,61.067,57.447
3446,29925,60.127,63.587,63.277,61.067,57.447
4812,29927,59.647,63.587,63.277,61.067,57.447
825,29930,59.647,64.067,63.277,61.067,55.547
6065,29933,59.647,64.067,63.437,,55.547
2119,29934,59.647,64.067,63.437,,55.547
3447,29936,60.757,64.067,63.437,,55.547
4813,29937,60.757,64.067,63.437,,55.547
826,29940,60.757,,63.437,,55.397
6066,29943,60.757,,63.117,61.387,55.397
2120,29944,60.757,,63.117,61.387,55.397
3448,29946,60.757,,63.117,61.387,55.397
4814,29947,60.757,,63.117,61.387,55.397
827,29951,60.757,62.957,63.117,61.387,55.397
6067,29954,60.757,62.957,62.807,61.857,55.397
2121,29954,60.757,62.957,62.807,61.857,55.397
3449,29956,60.757,62.957,62.807,61.857,55.397
4815,29958,60.437,62.957,62.807,61.857,55.397
828,29961,60.437,62.487,62.807,61.857,55.547
6068,29964,60.437,62.487,63.587,61.227,55.547
2122,29964,60.437,62.487,63.587,61.227,55.547
3450,29966,60.437,62.487,63.587,61.227,55.547
4816,29968,60.437,62.487,63.587,61.227,55.547
829,29971,60.437,61.857,63.587,61.227,55.547
6069,29974,60.437,61.857,63.277,61.857,55.547
2123,29975,60.437,61.857,63.277,61.857,55.547
3451,29977,59.647,61.857,63.277,61.857,55.547
4817,29978,59.647,61.857,63.277,61.857,55.547
830,29982,59.647,62.017,63.277,61.857,55.707
6070,29984,59.647,62.017,62.807,61.697,55.707
2124,29985,59.647,62.017,62.807,61.697,55.707
3452,29987,59.647,62.017,62.807,61.697,55.707
4818,29988,60.127,62.017,62.807,61.697,55.707
831,29992,60.127,62.487,62.807,61.697,55.397
